scenario,system,phase,version,metric,value
many-files,cavs-fastcdc-256k,breakdown,4,export_pack_kb,109472
many-files,cavs-fastcdc-256k,breakdown,4,export_index_kb,52
many-files,cavs-fastcdc-256k,breakdown,4,export_manifest_kb,465
many-files,cavs-fastcdc-256k,breakdown,4,export_chunkmap_kb,218
many-files,cavs-fastcdc-256k,breakdown,4,export_record_kb,431
many-files,cavs-fastcdc-256k,logical,4,latest_version_kb,88527
big-binary,cavs-fixed-1m,push,1,time_s,3.25
big-binary,cavs-fixed-1m,push,1,remote_kb,204959
big-binary,cavs-fixed-1m,push,1,remote_growth_kb,204959
big-binary,cavs-fixed-1m,update,1,time_s,4.50
big-binary,cavs-fixed-1m,update,1,dl_total_kb,102400
big-binary,cavs-fixed-1m,push,2,time_s,2.00
big-binary,cavs-fixed-1m,push,2,remote_kb,229634
big-binary,cavs-fixed-1m,push,2,remote_growth_kb,24675
big-binary,cavs-fixed-1m,update,2,time_s,2.71
big-binary,cavs-fixed-1m,update,2,dl_total_kb,114688
big-binary,cavs-fixed-1m,push,3,time_s,2.19
big-binary,cavs-fixed-1m,push,3,remote_kb,252262
big-binary,cavs-fixed-1m,push,3,remote_growth_kb,22628
big-binary,cavs-fixed-1m,update,3,time_s,2.60
big-binary,cavs-fixed-1m,update,3,dl_total_kb,125952
big-binary,cavs-fixed-1m,push,4,time_s,3.02
big-binary,cavs-fixed-1m,push,4,remote_kb,276938
big-binary,cavs-fixed-1m,push,4,remote_growth_kb,24676
big-binary,cavs-fixed-1m,update,4,time_s,2.68
big-binary,cavs-fixed-1m,update,4,dl_total_kb,138240
big-binary,cavs-fixed-1m,push,5,time_s,1.91
big-binary,cavs-fixed-1m,push,5,remote_kb,299568
big-binary,cavs-fixed-1m,push,5,remote_growth_kb,22630
big-binary,cavs-fixed-1m,update,5,time_s,2.96
big-binary,cavs-fixed-1m,update,5,dl_total_kb,149504
big-binary,cavs-fixed-1m,clone_cold,5,time_s,2.66
big-binary,cavs-fixed-1m,clone_cold,5,dl_total_kb,106496
big-binary,cavs-fixed-1m,verify,5,sha256_ok,1
big-binary,cavs-fixed-1m,clone_warm,5,time_s,2.44
big-binary,cavs-fixed-1m,clone_warm,5,dl_new_kb,0
big-binary,cavs-fixed-1m,storage,5,store_kb,149672
big-binary,cavs-fixed-1m,storage,5,export_kb,149868
big-binary,cavs-fixed-1m,breakdown,5,store_pack_data_kb,149504
big-binary,cavs-fixed-1m,breakdown,5,store_pack_index_kb,7
big-binary,cavs-fixed-1m,breakdown,5,store_meta_kb,160
big-binary,cavs-fixed-1m,breakdown,5,export_pack_kb,149504
big-binary,cavs-fixed-1m,breakdown,5,export_index_kb,7
big-binary,cavs-fixed-1m,breakdown,5,export_manifest_kb,106
big-binary,cavs-fixed-1m,breakdown,5,export_chunkmap_kb,169
